strategy,segment_param,dropout_rounds,patches_per_drop,miou,miou_pct,mdice,mdice_pct,score,score_pct,metric,mask_coverage_mean,elapsed_s,status
regular,grid12,0,n/a,0.3092,30.9,0.4051,40.5,0.4051,40.5,dice,4.82,17.1,ok
regular,grid12,1,5,0.441,44.1,0.5494,54.9,0.5494,54.9,dice,8.73,17.2,ok
regular,grid12,2,5,0.468,46.8,0.5735,57.4,0.5735,57.4,dice,10.59,17.4,ok
regular,grid12,3,5,0.4616,46.2,0.5679,56.8,0.5679,56.8,dice,12.75,16.5,ok
regular,grid12,4,5,0.4494,44.9,0.5586,55.9,0.5586,55.9,dice,14.65,16.4,ok
regular,grid12,5,5,0.4405,44.1,0.5524,55.2,0.5524,55.2,dice,16.36,16.5,ok
regular,grid12,6,5,0.4216,42.2,0.5327,53.3,0.5327,53.3,dice,18.17,16.5,ok
regular,grid12,1,10,0.4102,41.0,0.5143,51.4,0.5143,51.4,dice,9.78,16.1,ok
regular,grid12,2,10,0.4277,42.8,0.5318,53.2,0.5318,53.2,dice,12.73,16.6,ok
regular,grid12,3,10,0.3729,37.3,0.4573,45.7,0.4573,45.7,dice,12.67,16.6,ok
regular,grid12,4,10,0.3499,35.0,0.4354,43.5,0.4354,43.5,dice,13.91,16.7,ok
regular,grid12,5,10,0.3154,31.5,0.3984,39.8,0.3984,39.8,dice,14.24,16.6,ok
regular,grid12,6,10,0.3139,31.4,0.3973,39.7,0.3973,39.7,dice,15.16,16.7,ok
regular,grid12,1,25,0.3138,31.4,0.406,40.6,0.406,40.6,dice,6.67,15.4,ok
regular,grid12,2,25,0.2509,25.1,0.3259,32.6,0.3259,32.6,dice,5.91,15.9,ok
regular,grid12,3,25,0.2247,22.5,0.293,29.3,0.293,29.3,dice,4.56,16.6,ok
regular,grid12,4,25,0.2224,22.2,0.2899,29.0,0.2899,29.0,dice,4.6,16.8,ok
regular,grid12,5,25,0.2217,22.2,0.2893,28.9,0.2893,28.9,dice,4.63,17.0,ok
regular,grid12,6,25,0.2217,22.2,0.2893,28.9,0.2893,28.9,dice,4.63,16.9,ok
regular,grid12,1,35,0.2542,25.4,0.3387,33.9,0.3387,33.9,dice,5.11,17.4,ok
regular,grid12,2,35,0.2056,20.6,0.2749,27.5,0.2749,27.5,dice,3.85,16.9,ok
regular,grid12,3,35,0.189,18.9,0.2533,25.3,0.2533,25.3,dice,3.02,16.7,ok
regular,grid12,4,35,0.1891,18.9,0.2534,25.3,0.2534,25.3,dice,2.92,16.8,ok
regular,grid12,5,35,0.1891,18.9,0.2534,25.3,0.2534,25.3,dice,2.92,16.7,ok
regular,grid12,6,35,0.1891,18.9,0.2534,25.3,0.2534,25.3,dice,2.92,16.9,ok
regular,grid12,1,50,0.2032,20.3,0.2724,27.2,0.2724,27.2,dice,3.43,15.5,ok
regular,grid12,2,50,0.1963,19.6,0.2636,26.4,0.2636,26.4,dice,3.07,15.8,ok
regular,grid12,3,50,0.1963,19.6,0.2636,26.4,0.2636,26.4,dice,3.07,16.2,ok
regular,grid12,4,50,0.1963,19.6,0.2636,26.4,0.2636,26.4,dice,3.07,16.6,ok
regular,grid12,5,50,0.1963,19.6,0.2636,26.4,0.2636,26.4,dice,3.07,16.8,ok
regular,grid12,6,50,0.1963,19.6,0.2636,26.4,0.2636,26.4,dice,3.07,16.9,ok
regular,grid16,0,n/a,0.2432,24.3,0.3205,32.1,0.3205,32.1,dice,3.11,14.7,ok
regular,grid16,1,5,0.343,34.3,0.4379,43.8,0.4379,43.8,dice,5.0,17.4,ok
regular,grid16,2,5,0.3741,37.4,0.4657,46.6,0.4657,46.6,dice,6.47,16.9,ok
regular,grid16,3,5,0.3955,39.5,0.4913,49.1,0.4913,49.1,dice,7.56,16.6,ok
regular,grid16,4,5,0.4046,40.5,0.503,50.3,0.503,50.3,dice,8.1,16.7,ok
regular,grid16,5,5,0.3987,39.9,0.4999,50.0,0.4999,50.0,dice,8.71,16.7,ok
regular,grid16,6,5,0.4104,41.0,0.5114,51.1,0.5114,51.1,dice,9.57,16.8,ok
regular,grid16,1,10,0.3759,37.6,0.4717,47.2,0.4717,47.2,dice,5.91,15.5,ok
regular,grid16,2,10,0.421,42.1,0.5193,51.9,0.5193,51.9,dice,8.06,15.7,ok
regular,grid16,3,10,0.4211,42.1,0.5184,51.8,0.5184,51.8,dice,9.57,16.0,ok
regular,grid16,4,10,0.4083,40.8,0.505,50.5,0.505,50.5,dice,10.39,16.5,ok
