image_id,class_name,iou,dice,pred_coverage_pct,gt_coverage_pct,elapsed_s,status
MCUCXR_0031_0,lungs,0.7745,0.8729,32.52,35.57,0.46,ok
MCUCXR_0084_0,lungs,0.682,0.811,16.62,19.98,0.13,ok
MCUCXR_0393_1,lungs,0.7296,0.8437,25.59,25.71,0.13,ok
MCUCXR_0015_0,lungs,0.6562,0.7924,27.02,29.81,0.14,ok
MCUCXR_0372_1,lungs,0.6008,0.7506,28.51,21.86,0.13,ok
MCUCXR_0023_0,lungs,0.7078,0.8289,38.99,38.69,0.14,ok
MCUCXR_0097_0,lungs,0.7524,0.8587,20.1,24.63,0.13,ok
MCUCXR_0203_1,lungs,0.5523,0.7116,32.8,26.15,0.13,ok
MCUCXR_0141_1,lungs,0.7894,0.8823,36.4,35.74,0.13,ok
MCUCXR_0367_1,lungs,0.691,0.8173,19.21,19.85,0.13,ok
MCUCXR_0002_0,lungs,0.5817,0.7355,26.7,20.38,0.13,ok
MCUCXR_0387_1,lungs,0.6877,0.815,36.22,31.04,0.14,ok
MCUCXR_0213_1,lungs,0.6787,0.8086,20.99,25.41,0.13,ok
MCUCXR_0253_1,lungs,0.7149,0.8337,25.64,26.43,0.14,ok
MCUCXR_0087_0,lungs,0.6967,0.8213,21.69,26.21,0.13,ok
MCUCXR_0188_1,lungs,0.7077,0.8288,33.67,34.22,0.13,ok
MCUCXR_0282_1,lungs,0.6501,0.788,38.76,30.12,0.13,ok
MCUCXR_0045_0,lungs,0.6207,0.766,37.0,27.17,0.13,ok
MCUCXR_0026_0,lungs,0.6233,0.7679,27.59,17.64,0.13,ok
MCUCXR_0068_0,lungs,0.622,0.767,33.83,22.54,0.13,ok
MCUCXR_0029_0,lungs,0.594,0.7453,35.16,24.65,0.13,ok
MCUCXR_0275_1,lungs,0.7155,0.8342,27.54,27.56,0.13,ok
MCUCXR_0354_1,lungs,0.7221,0.8386,41.81,35.7,0.13,ok
MCUCXR_0051_0,lungs,0.7042,0.8264,37.63,34.42,0.13,ok
MCUCXR_0266_1,lungs,0.6334,0.7756,33.22,26.46,0.13,ok
MCUCXR_0069_0,lungs,0.6594,0.7947,36.84,28.94,0.13,ok
MCUCXR_0054_0,lungs,0.6485,0.7868,29.81,23.81,0.13,ok
MCUCXR_0044_0,lungs,0.6637,0.7979,25.48,26.97,0.13,ok
MCUCXR_0294_1,lungs,0.5893,0.7416,32.47,22.19,0.14,ok
MCUCXR_0064_0,lungs,0.5487,0.7086,32.59,22.73,0.13,ok
MCUCXR_0046_0,lungs,0.6672,0.8004,22.55,27.71,0.13,ok
MCUCXR_0243_1,lungs,0.7112,0.8312,30.39,32.44,0.13,ok
MCUCXR_0095_0,lungs,0.6991,0.8229,27.78,33.51,0.13,ok
MCUCXR_0082_0,lungs,0.5206,0.6848,43.14,25.27,0.13,ok
MCUCXR_0074_0,lungs,0.5549,0.7137,24.82,18.16,0.14,ok
MCUCXR_0170_1,lungs,0.7636,0.866,38.92,36.13,0.13,ok
MCUCXR_0313_1,lungs,0.7065,0.828,30.06,26.11,0.13,ok
MCUCXR_0075_0,lungs,0.6954,0.8204,25.28,23.36,0.13,ok
MCUCXR_0003_0,lungs,0.6551,0.7916,28.64,25.42,0.13,ok
MCUCXR_0081_0,lungs,0.7185,0.8362,25.72,26.17,0.13,ok
MCUCXR_0331_1,lungs,0.6601,0.7953,34.63,29.59,0.13,ok
MCUCXR_0338_1,lungs,0.6636,0.7978,40.8,38.43,0.13,ok
MCUCXR_0021_0,lungs,0.6285,0.7719,35.14,23.89,0.13,ok
MCUCXR_0089_0,lungs,0.8014,0.8897,38.91,37.15,0.13,ok
MCUCXR_0289_1,lungs,0.63,0.773,32.02,23.97,0.13,ok
MCUCXR_0080_0,lungs,0.5216,0.6856,21.29,11.14,0.13,ok
MCUCXR_0100_0,lungs,0.735,0.8473,20.59,26.36,0.13,ok
MCUCXR_0113_1,lungs,0.4337,0.6051,9.14,18.13,0.15,ok
MCUCXR_0070_0,lungs,0.6079,0.7561,23.12,18.25,0.13,ok
MCUCXR_0140_1,lungs,0.6813,0.8104,21.63,26.14,0.13,ok
MCUCXR_0086_0,lungs,0.6123,0.7595,23.12,18.32,0.13,ok
MCUCXR_0048_0,lungs,0.7244,0.8402,21.36,19.5,0.13,ok
MCUCXR_0316_1,lungs,0.6766,0.8071,28.5,26.7,0.13,ok
MCUCXR_0055_0,lungs,0.4307,0.602,17.85,25.4,0.13,ok
MCUCXR_0053_0,lungs,0.6498,0.7877,13.45,16.49,0.13,ok
MCUCXR_0005_0,lungs,0.7025,0.8252,34.5,30.83,0.13,ok
MCUCXR_0056_0,lungs,0.6971,0.8216,23.9,22.03,0.13,ok
MCUCXR_0196_1,lungs,0.639,0.7797,32.05,24.2,0.13,ok
MCUCXR_0311_1,lungs,0.4916,0.6592,28.7,15.57,0.13,ok
MCUCXR_0024_0,lungs,0.6061,0.7548,22.21,17.96,0.13,ok
MCUCXR_0057_0,lungs,0.5486,0.7085,14.94,24.22,0.13,ok
MCUCXR_0194_1,lungs,0.7429,0.8525,20.95,23.87,0.13,ok
MCUCXR_0369_1,lungs,0.5898,0.742,33.31,21.6,0.13,ok
MCUCXR_0062_0,lungs,0.7049,0.8269,16.69,20.18,0.13,ok
MCUCXR_0251_1,lungs,0.5339,0.6962,42.42,22.77,0.13,ok
MCUCXR_0102_0,lungs,0.7289,0.8432,35.98,34.34,0.13,ok
MCUCXR_0142_1,lungs,0.6461,0.785,27.1,24.61,0.13,ok
MCUCXR_0218_1,lungs,0.6684,0.8012,37.41,30.35,0.13,ok
MCUCXR_0126_1,lungs,0.4768,0.6457,31.71,25.11,0.13,ok
MCUCXR_0173_1,lungs,0.6432,0.7828,24.43,33.26,0.14,ok
MCUCXR_0162_1,lungs,0.6697,0.8022,46.11,37.29,0.13,ok
MCUCXR_0309_1,lungs,0.3355,0.5024,9.09,16.56,0.13,ok
MCUCXR_0108_1,lungs,0.669,0.8017,31.22,28.05,0.13,ok
MCUCXR_0348_1,lungs,0.6059,0.7546,10.18,16.66,0.13,ok
MCUCXR_0144_1,lungs,0.6809,0.8102,33.46,27.47,0.14,ok
MCUCXR_0362_1,lungs,0.6853,0.8133,18.2,23.43,0.13,ok
MCUCXR_0035_0,lungs,0.6646,0.7985,35.35,26.91,0.13,ok
MCUCXR_0096_0,lungs,0.6823,0.8111,31.46,27.18,0.13,ok
MCUCXR_0061_0,lungs,0.651,0.7886,13.66,12.25,0.13,ok
MCUCXR_0103_0,lungs,0.7549,0.8603,25.01,29.14,0.13,ok
MCUCXR_0104_1,lungs,0.7192,0.8367,39.26,34.39,0.13,ok
MCUCXR_0052_0,lungs,0.5558,0.7145,22.6,14.59,0.13,ok
MCUCXR_0390_1,lungs,0.6714,0.8034,19.79,26.39,0.13,ok
MCUCXR_0016_0,lungs,0.7066,0.8281,23.84,23.36,0.13,ok
MCUCXR_0182_1,lungs,0.7493,0.8567,24.59,26.89,0.13,ok
MCUCXR_0022_0,lungs,0.805,0.892,39.71,39.78,0.13,ok
MCUCXR_0090_0,lungs,0.7122,0.8319,34.64,38.61,0.13,ok
MCUCXR_0079_0,lungs,0.7382,0.8494,26.45,34.87,0.13,ok
MCUCXR_0006_0,lungs,0.6102,0.7579,20.38,21.31,0.13,ok
MCUCXR_0047_0,lungs,0.5879,0.7405,21.04,25.33,0.14,ok
MCUCXR_0334_1,lungs,0.5782,0.7327,20.42,23.16,0.13,ok
MCUCXR_0059_0,lungs,0.6784,0.8084,31.8,27.3,0.13,ok
MCUCXR_0060_0,lungs,0.4922,0.6597,19.83,9.87,0.13,ok
MCUCXR_0019_0,lungs,0.6431,0.7828,32.7,28.79,0.13,ok
MCUCXR_0063_0,lungs,0.6842,0.8125,22.14,25.86,0.13,ok
MCUCXR_0352_1,lungs,0.6182,0.7641,29.94,24.58,0.13,ok
MCUCXR_0020_0,lungs,0.5943,0.7455,40.17,27.33,0.13,ok
MCUCXR_0223_1,lungs,0.6922,0.8181,22.83,26.57,0.13,ok
MCUCXR_0254_1,lungs,0.6869,0.8144,44.5,32.73,0.13,ok
