strategy,granularity,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
regular,16,0,0.05,0.0,0.0,0.0,0.0,1.3,4.98,ok
regular,16,0,0.1,0.0,0.0,0.0,0.0,0.75,5.04,ok
regular,16,0,0.2,0.0,0.0,0.0,0.0,0.03,5.21,ok
regular,16,1,0.05,0.0,0.0,0.0,0.0,6.88,5.8,ok
regular,16,1,0.1,0.0,0.0,0.0,0.0,4.15,5.8,ok
regular,16,1,0.2,0.0,0.0,0.0,0.0,1.69,5.75,ok
regular,16,2,0.05,0.0001,0.0,0.0002,0.0,11.18,6.26,ok
regular,16,2,0.1,0.0,0.0,0.0,0.0,8.11,6.39,ok
regular,16,2,0.2,0.0,0.0,0.0,0.0,3.11,6.54,ok
regular,16,3,0.05,0.0003,0.0,0.0006,0.1,15.49,7.21,ok
regular,16,3,0.1,0.0001,0.0,0.0003,0.0,12.51,7.43,ok
regular,16,3,0.2,0.0,0.0,0.0,0.0,6.9,7.3,ok
regular,24,0,0.05,0.0,0.0,0.0,0.0,0.0,5.82,ok
regular,24,0,0.1,0.0,0.0,0.0,0.0,0.0,5.75,ok
regular,24,0,0.2,0.0,0.0,0.0,0.0,0.0,5.59,ok
regular,24,1,0.05,0.0,0.0,0.0,0.0,1.63,6.39,ok
regular,24,1,0.1,0.0,0.0,0.0,0.0,1.11,6.35,ok
regular,24,1,0.2,0.0,0.0,0.0,0.0,0.19,6.43,ok
regular,24,2,0.05,0.0,0.0,0.0,0.0,3.79,7.18,ok
regular,24,2,0.1,0.0,0.0,0.0,0.0,2.76,7.05,ok
regular,24,2,0.2,0.0,0.0,0.0,0.0,0.88,7.04,ok
regular,24,3,0.05,0.0,0.0,0.0,0.0,6.47,7.86,ok
regular,24,3,0.1,0.0,0.0,0.0,0.0,4.28,7.97,ok
regular,24,3,0.2,0.0,0.0,0.0,0.0,2.23,8.0,ok
regular,32,0,0.05,0.0,0.0,0.0,0.0,0.0,6.66,ok
regular,32,0,0.1,0.0,0.0,0.0,0.0,0.0,6.38,ok
regular,32,0,0.2,0.0,0.0,0.0,0.0,0.0,6.37,ok
regular,32,1,0.05,0.0,0.0,0.0,0.0,0.19,7.14,ok
regular,32,1,0.1,0.0,0.0,0.0,0.0,0.08,7.04,ok
regular,32,1,0.2,0.0,0.0,0.0,0.0,0.0,7.1,ok
