layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,clip,0,0.0,0.0,9.56,0.000118,0.0,1.96,ok,30
0,1,clip,0,0.0,0.0,5.52,1.2e-05,0.0,1.99,ok,30
0,2,clip,0,0.0,0.0,16.18,0.001006,0.0,1.94,ok,30
0,3,clip,0,0.0,0.0,16.26,2.7e-05,0.0,2.07,ok,30
0,4,clip,0,0.0,0.0,5.09,0.006438,0.0,1.87,ok,30
0,5,clip,0,0.0,0.0,1.41,0.000523,0.0,1.98,ok,30
0,6,clip,0,0.0,0.0,1.56,0.000464,0.0,1.8,ok,30
0,7,clip,0,0.0,0.0,14.86,0.000168,0.0,2.1,ok,30
0,8,clip,0,0.0,0.0,6.44,0.000418,0.0,1.83,ok,30
0,9,clip,0,0.0,0.0,5.99,0.000127,0.0,2.03,ok,30
0,10,clip,0,0.0,0.0,4.44,0.000226,0.0,1.85,ok,30
0,11,clip,0,0.0,0.0,2.84,0.000264,0.0,1.98,ok,30
1,0,clip,0,0.0,0.0,1.75,5.4e-05,0.0,1.82,ok,30
1,1,clip,0,0.0,0.0,7.01,0.000288,0.0,2.47,ok,30
1,2,clip,0,0.0,0.0,2.74,3.1e-05,0.0,1.86,ok,30
