strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
regular,12,10,0,0.05,0.4329,43.3,0.602,60.2,62.24,4.47,ok
regular,12,10,0,0.1,0.5289,52.9,0.6892,68.9,48.86,3.97,ok
regular,12,10,0,0.2,0.6666,66.7,0.7984,79.8,30.41,3.96,ok
regular,12,10,1,0.05,0.4003,40.0,0.5701,57.0,67.38,4.67,ok
regular,12,10,1,0.1,0.4571,45.7,0.6258,62.6,58.32,4.62,ok
regular,12,10,1,0.2,0.5814,58.1,0.7331,73.3,42.65,4.62,ok
regular,12,10,2,0.05,0.3956,39.6,0.5654,56.5,68.21,5.29,ok
regular,12,10,2,0.1,0.4442,44.4,0.6135,61.3,59.94,5.25,ok
regular,12,10,2,0.2,0.5583,55.8,0.714,71.4,45.07,5.24,ok
regular,12,10,3,0.05,0.3793,37.9,0.5483,54.8,71.07,5.93,ok
regular,12,10,3,0.1,0.4162,41.6,0.5856,58.6,64.49,5.9,ok
regular,12,10,3,0.2,0.493,49.3,0.657,65.7,53.25,5.89,ok
regular,16,10,0,0.05,0.4794,47.9,0.6461,64.6,55.3,4.17,ok
regular,16,10,0,0.1,0.6078,60.8,0.7533,75.3,38.88,4.15,ok
regular,16,10,0,0.2,0.63,63.0,0.7676,76.8,22.71,4.2,ok
regular,16,10,1,0.05,0.4299,43.0,0.5996,60.0,62.44,4.98,ok
regular,16,10,1,0.1,0.5147,51.5,0.6775,67.7,50.56,4.85,ok
regular,16,10,1,0.2,0.6645,66.4,0.7967,79.7,33.29,4.82,ok
regular,16,10,2,0.05,0.4144,41.4,0.5844,58.4,64.98,5.55,ok
regular,16,10,2,0.1,0.4742,47.4,0.6419,64.2,55.95,5.54,ok
regular,16,10,2,0.2,0.6147,61.5,0.759,75.9,39.22,5.56,ok
regular,16,10,3,0.05,0.4093,40.9,0.5793,57.9,65.71,6.18,ok
