image_id,class_name,iou,dice,pred_coverage_pct,gt_coverage_pct,elapsed_s,status
MCUCXR_0031_0,lungs,0.0,0.0,0.99,35.57,0.63,ok
MCUCXR_0084_0,lungs,0.0,0.0,3.37,19.98,0.22,ok
MCUCXR_0393_1,lungs,0.0,0.0,0.0,25.71,0.23,ok
MCUCXR_0015_0,lungs,0.0,0.0,0.0,29.81,0.22,ok
MCUCXR_0372_1,lungs,0.0,0.0,0.0,21.86,0.21,ok
MCUCXR_0023_0,lungs,0.0,0.0,1.33,38.69,0.21,ok
MCUCXR_0097_0,lungs,0.0,0.0,0.0,24.63,0.21,ok
MCUCXR_0203_1,lungs,0.0,0.0,3.33,26.15,0.22,ok
MCUCXR_0141_1,lungs,0.0,0.0,0.57,35.74,0.21,ok
MCUCXR_0367_1,lungs,0.0,0.0,3.24,19.85,0.2,ok
MCUCXR_0002_0,lungs,0.0,0.0,0.0,20.38,0.21,ok
MCUCXR_0387_1,lungs,0.0,0.0,0.0,31.04,0.34,ok
MCUCXR_0213_1,lungs,0.0,0.0,0.63,25.41,0.21,ok
MCUCXR_0253_1,lungs,0.0,0.0,0.0,26.43,0.2,ok
MCUCXR_0087_0,lungs,0.0,0.0,0.0,26.21,0.2,ok
MCUCXR_0188_1,lungs,0.0,0.0,0.0,34.22,0.21,ok
MCUCXR_0282_1,lungs,0.0,0.0,1.27,30.12,0.21,ok
MCUCXR_0045_0,lungs,0.0,0.0,0.0,27.17,0.22,ok
MCUCXR_0026_0,lungs,0.0,0.0,0.0,17.64,0.22,ok
MCUCXR_0068_0,lungs,0.0,0.0,0.0,22.54,0.23,ok
MCUCXR_0029_0,lungs,0.0,0.0,0.0,24.65,0.21,ok
MCUCXR_0275_1,lungs,0.0,0.0,0.0,27.56,0.22,ok
MCUCXR_0354_1,lungs,0.0,0.0,0.0,35.7,0.22,ok
MCUCXR_0051_0,lungs,0.0,0.0,1.66,34.42,0.22,ok
MCUCXR_0266_1,lungs,0.0,0.0,0.0,26.46,0.23,ok
MCUCXR_0069_0,lungs,0.0,0.0,6.56,28.94,0.22,ok
MCUCXR_0054_0,lungs,0.0,0.0,5.82,23.81,0.21,ok
MCUCXR_0044_0,lungs,0.0,0.0,0.0,26.97,0.22,ok
MCUCXR_0294_1,lungs,0.0,0.0,0.0,22.19,0.21,ok
MCUCXR_0064_0,lungs,0.0,0.0,0.0,22.73,0.23,ok
MCUCXR_0046_0,lungs,0.0,0.0,4.32,27.71,0.22,ok
MCUCXR_0243_1,lungs,0.0,0.0,0.0,32.44,0.22,ok
MCUCXR_0095_0,lungs,0.0,0.0,0.09,33.51,0.23,ok
MCUCXR_0082_0,lungs,0.0,0.0,0.0,25.27,0.21,ok
MCUCXR_0074_0,lungs,0.0,0.0,0.0,18.16,0.2,ok
MCUCXR_0170_1,lungs,0.0,0.0,1.94,36.13,0.22,ok
MCUCXR_0313_1,lungs,0.0,0.0,4.84,26.11,0.21,ok
MCUCXR_0075_0,lungs,0.0,0.0,0.0,23.36,0.22,ok
MCUCXR_0003_0,lungs,0.0,0.0,5.09,25.42,0.22,ok
MCUCXR_0081_0,lungs,0.0,0.0,0.0,26.17,0.23,ok
MCUCXR_0331_1,lungs,0.0,0.0,0.0,29.59,0.22,ok
MCUCXR_0338_1,lungs,0.0,0.0,0.0,38.43,0.22,ok
MCUCXR_0021_0,lungs,0.0,0.0,2.03,23.89,0.22,ok
MCUCXR_0089_0,lungs,0.0,0.0,6.35,37.15,0.23,ok
MCUCXR_0289_1,lungs,0.0,0.0,0.0,23.97,0.21,ok
MCUCXR_0080_0,lungs,0.0,0.0,0.0,11.14,0.23,ok
MCUCXR_0100_0,lungs,0.0,0.0,3.0,26.36,0.2,ok
MCUCXR_0113_1,lungs,0.0,0.0,0.0,18.13,0.21,ok
MCUCXR_0070_0,lungs,0.0,0.0,0.0,18.25,0.21,ok
MCUCXR_0140_1,lungs,0.0,0.0,0.0,26.14,0.21,ok
MCUCXR_0086_0,lungs,0.0,0.0,0.01,18.32,0.2,ok
MCUCXR_0048_0,lungs,0.0,0.0,0.0,19.5,0.2,ok
MCUCXR_0316_1,lungs,0.0,0.0,0.0,26.7,0.21,ok
MCUCXR_0055_0,lungs,0.0,0.0,0.0,25.4,0.2,ok
MCUCXR_0053_0,lungs,0.0,0.0,0.0,16.49,0.22,ok
MCUCXR_0005_0,lungs,0.0,0.0,0.0,30.83,0.21,ok
MCUCXR_0056_0,lungs,0.0,0.0,0.0,22.03,0.21,ok
MCUCXR_0196_1,lungs,0.0,0.0,0.0,24.2,0.22,ok
MCUCXR_0311_1,lungs,0.0,0.0,0.3,15.57,0.21,ok
MCUCXR_0024_0,lungs,0.0,0.0,0.0,17.96,0.21,ok
MCUCXR_0057_0,lungs,0.0,0.0,0.0,24.22,0.21,ok
MCUCXR_0194_1,lungs,0.0,0.0,5.36,23.87,0.22,ok
MCUCXR_0369_1,lungs,0.0,0.0,0.0,21.6,0.19,ok
