layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,dice,0,0.0,0.168079,9.56,0.000118,0.168079,2.15,ok,30
0,1,dice,0,0.0,0.146596,5.52,1.2e-05,0.146596,1.88,ok,30
0,2,dice,0,0.0,0.083719,16.18,0.001006,0.083719,2.12,ok,30
0,3,dice,0,0.0,0.466534,16.26,2.7e-05,0.466534,1.96,ok,30
0,4,dice,0,0.0,0.224701,5.09,0.006438,0.224701,1.94,ok,30
0,5,dice,0,0.0,0.019228,1.41,0.000523,0.019228,1.77,ok,30
0,6,dice,0,0.0,0.005778,1.56,0.000464,0.005778,2.01,ok,30
0,7,dice,0,0.0,0.39178,14.86,0.000168,0.39178,1.92,ok,30
0,8,dice,0,0.0,0.302252,6.44,0.000418,0.302252,2.05,ok,30
0,9,dice,0,0.0,0.05353,5.99,0.000127,0.05353,1.83,ok,30
0,10,dice,0,0.0,0.012988,4.44,0.000226,0.012988,2.07,ok,30
0,11,dice,0,0.0,0.100878,2.84,0.000264,0.100878,1.95,ok,30
1,0,dice,0,0.0,0.0,1.75,5.4e-05,0.0,1.77,ok,30
1,1,dice,0,0.0,0.278839,7.01,0.000288,0.278839,2.06,ok,30
1,2,dice,0,0.0,0.080642,2.74,3.1e-05,0.080642,1.78,ok,30
1,3,dice,0,0.0,0.011823,3.93,0.000908,0.011823,2.02,ok,30
1,4,dice,0,0.0,0.012364,4.98,0.000435,0.012364,1.88,ok,30
1,5,dice,0,0.0,0.012105,4.01,0.000803,0.012105,2.05,ok,30
1,6,dice,0,0.0,0.245055,7.57,2.7e-05,0.245055,1.81,ok,30
1,7,dice,0,0.0,0.0,1.72,0.000116,0.0,1.97,ok,30
1,8,dice,0,0.0,0.011844,3.86,0.001529,0.011844,1.84,ok,30
1,9,dice,0,0.0,0.227199,5.95,0.001523,0.227199,2.04,ok,30
1,10,dice,0,0.0,0.38664,10.46,0.000146,0.38664,1.9,ok,30
1,11,dice,0,0.0,0.403287,9.8,0.001026,0.403287,2.03,ok,30
2,0,dice,0,0.0,0.00543,1.59,4e-05,0.00543,1.83,ok,30
2,1,dice,0,0.0,0.083465,12.43,0.000133,0.083465,2.08,ok,30
2,2,dice,0,0.0,0.013501,6.14,0.001155,0.013501,1.8,ok,30
2,3,dice,0,0.0,0.25797,7.18,7e-06,0.25797,2.01,ok,30
2,4,dice,0,0.0,0.033674,1.23,4e-06,0.033674,1.81,ok,30
2,5,dice,0,0.0,0.07121,3.32,2.5e-05,0.07121,2.01,ok,30
2,6,dice,0,0.0,0.299434,8.94,0.000101,0.299434,1.9,ok,30
2,7,dice,0,0.0,0.10222,4.01,2.3e-05,0.10222,2.0,ok,30
2,8,dice,0,0.0,0.21259,6.89,0.000158,0.21259,1.85,ok,30
2,9,dice,0,0.0,0.171474,4.54,2.2e-05,0.171474,2.02,ok,30
