strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
regular,12,10,0,0.05,0.3767,37.7,0.4825,48.2,33.09,3.82,ok
regular,12,10,0,0.1,0.4427,44.3,0.5491,54.9,20.13,3.51,ok
regular,12,10,0,0.2,0.446,44.6,0.5516,55.2,12.51,3.47,ok
regular,12,10,1,0.05,0.3118,31.2,0.4185,41.9,43.33,3.94,ok
regular,12,10,1,0.1,0.4168,41.7,0.5158,51.6,29.89,3.91,ok
regular,12,10,1,0.2,0.4141,41.4,0.5332,53.3,18.08,4.02,ok
regular,12,10,2,0.05,0.2994,29.9,0.4022,40.2,47.44,4.34,ok
regular,12,10,2,0.1,0.4001,40.0,0.5074,50.7,33.05,4.32,ok
regular,12,10,2,0.2,0.4832,48.3,0.5814,58.1,23.91,4.31,ok
regular,12,10,3,0.05,0.3025,30.3,0.4003,40.0,54.4,4.64,ok
regular,12,10,3,0.1,0.3564,35.6,0.4614,46.1,41.73,4.68,ok
regular,12,10,3,0.2,0.4578,45.8,0.5599,56.0,27.51,4.85,ok
regular,16,10,0,0.05,0.4013,40.1,0.5091,50.9,27.54,3.57,ok
regular,16,10,0,0.1,0.4466,44.7,0.5554,55.5,16.93,3.54,ok
regular,16,10,0,0.2,0.4349,43.5,0.5482,54.8,10.2,3.5,ok
regular,16,10,1,0.05,0.3808,38.1,0.4931,49.3,34.46,4.04,ok
regular,16,10,1,0.1,0.4512,45.1,0.5645,56.5,22.89,4.12,ok
regular,16,10,1,0.2,0.4754,47.5,0.5934,59.3,13.9,4.02,ok
regular,16,10,2,0.05,0.3483,34.8,0.4617,46.2,40.96,4.56,ok
regular,16,10,2,0.1,0.4369,43.7,0.5511,55.1,26.06,5.09,ok
regular,16,10,2,0.2,0.4884,48.8,0.5973,59.7,17.71,4.97,ok
regular,16,10,3,0.05,0.3699,37.0,0.4782,47.8,43.07,5.37,ok
regular,16,10,3,0.1,0.4064,40.6,0.52,52.0,30.18,5.7,ok
regular,16,10,3,0.2,0.4852,48.5,0.5975,59.8,20.11,6.2,ok
regular,24,10,0,0.05,0.4319,43.2,0.5347,53.5,20.46,4.68,ok
regular,24,10,0,0.1,0.4398,44.0,0.5418,54.2,14.31,4.8,ok
regular,24,10,0,0.2,0.3535,35.3,0.4557,45.6,7.77,4.48,ok
regular,24,10,1,0.05,0.4893,48.9,0.6027,60.3,23.71,5.95,ok
regular,24,10,1,0.1,0.5016,50.2,0.6146,61.5,16.51,4.63,ok
regular,24,10,1,0.2,0.4057,40.6,0.5235,52.4,9.85,4.59,ok
regular,24,10,2,0.05,0.4454,44.5,0.5495,54.9,28.94,5.18,ok
regular,24,10,2,0.1,0.494,49.4,0.6008,60.1,19.8,5.14,ok
regular,24,10,2,0.2,0.4752,47.5,0.5925,59.3,12.78,5.24,ok
regular,24,10,3,0.05,0.4452,44.5,0.5514,55.1,32.42,5.82,ok
regular,24,10,3,0.1,0.4859,48.6,0.5927,59.3,23.55,5.8,ok
regular,24,10,3,0.2,0.4814,48.1,0.6011,60.1,14.51,5.77,ok
superpixel,784,10,0,0.05,0.446,44.6,0.5611,56.1,16.19,5.45,ok
superpixel,784,10,0,0.1,0.4335,43.4,0.5466,54.7,11.14,5.19,ok
superpixel,784,10,0,0.2,0.3408,34.1,0.4445,44.5,6.4,5.19,ok
superpixel,784,10,1,0.05,0.4767,47.7,0.5861,58.6,20.06,5.67,ok
superpixel,784,10,1,0.1,0.4531,45.3,0.5667,56.7,14.45,5.68,ok
superpixel,784,10,1,0.2,0.4099,41.0,0.5231,52.3,8.79,5.62,ok
superpixel,784,10,2,0.05,0.4264,42.6,0.5415,54.2,23.8,6.09,ok
superpixel,784,10,2,0.1,0.4603,46.0,0.5733,57.3,16.2,6.11,ok
superpixel,784,10,2,0.2,0.4232,42.3,0.5347,53.5,10.0,6.18,ok
superpixel,784,10,3,0.05,0.4027,40.3,0.5185,51.9,26.58,6.59,ok
superpixel,784,10,3,0.1,0.4745,47.4,0.5868,58.7,17.46,6.91,ok
superpixel,784,10,3,0.2,0.4469,44.7,0.5586,55.9,11.41,6.58,ok
superpixel,441,10,0,0.05,0.4468,44.7,0.5637,56.4,17.9,5.09,ok
superpixel,441,10,0,0.1,0.4435,44.4,0.5578,55.8,12.15,5.39,ok
superpixel,441,10,0,0.2,0.3952,39.5,0.5032,50.3,7.43,5.52,ok
superpixel,441,10,1,0.05,0.4487,44.9,0.5623,56.2,23.5,5.9,ok
superpixel,441,10,1,0.1,0.4567,45.7,0.5674,56.7,16.41,6.17,ok
superpixel,441,10,1,0.2,,,,,,3.4,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 11.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 140.97 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,441,10,2,0.05,,,,,,0.09,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 11.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,441,10,2,0.1,,,,,,0.09,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,441,10,2,0.2,,,,,,0.1,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,441,10,3,0.05,,,,,,0.09,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,441,10,3,0.1,,,,,,0.09,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,441,10,3,0.2,,,,,,0.09,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,196,10,0,0.05,,,,,,0.08,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,196,10,0,0.1,,,,,,0.08,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,196,10,0,0.2,,,,,,0.08,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,196,10,1,0.05,,,,,,0.09,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 13.12 MiB is free. Including non-PyTorch memory, this process has 85.28 GiB memory in use. Process 1172350 has 9.61 GiB memory in use. Of the allocated memory 84.49 GiB is allocated by PyTorch, and 142.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,196,10,1,0.1,0.3927,39.3,0.492,49.2,30.4,5.1,ok
superpixel,196,10,1,0.2,0.3997,40.0,0.5145,51.4,18.17,5.08,ok
superpixel,196,10,2,0.05,0.2936,29.4,0.3933,39.3,47.69,5.61,ok
superpixel,196,10,2,0.1,0.3754,37.5,0.4764,47.6,34.65,5.88,ok
superpixel,196,10,2,0.2,,,,,,3.24,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 3.12 MiB is free. Including non-PyTorch memory, this process has 92.78 GiB memory in use. Process 1172944 has 2.12 GiB memory in use. Of the allocated memory 91.98 GiB is allocated by PyTorch, and 150.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
