image_id,class_name,iou,dice,pred_coverage_pct,gt_coverage_pct,elapsed_s,status
2008_005089_bottle,bottle,0.0003,0.0005,2.1,1.3,0.62,ok
2008_005089_person,person,0.156,0.2698,2.85,10.65,0.85,ok
2008_005089_tvmonitor,tvmonitor,0.3095,0.4727,17.53,5.42,1.06,ok
2009_004579_bottle,bottle,0.7123,0.832,54.47,49.2,0.21,ok
2011_000338_chair,chair,0.25,0.4,8.75,3.52,0.29,ok
2011_000338_diningtable,diningtable,0.4653,0.6351,8.2,4.39,0.52,ok
2009_005260_bird,bird,0.8234,0.9031,4.58,5.06,0.31,ok
2008_007031_cow,cow,0.913,0.9545,12.09,12.68,0.21,ok
2010_001579_chair,chair,0.0604,0.114,29.61,1.87,0.33,ok
2010_001579_diningtable,diningtable,0.2232,0.3649,19.07,32.7,0.56,ok
2010_001579_person,person,0.2797,0.4372,11.59,37.26,0.78,ok
2008_005727_bicycle,bicycle,0.1838,0.3105,3.23,6.81,0.22,ok
2011_002295_bird,bird,0.8461,0.9166,3.81,3.78,0.26,ok
2007_003991_cat,cat,0.9012,0.948,22.8,23.97,0.21,ok
2007_008670_bird,bird,0.4357,0.607,7.82,11.93,0.2,ok
2011_001708_cow,cow,0.612,0.7593,6.46,10.12,0.2,ok
2010_005606_cat,cat,0.7319,0.8452,11.82,13.51,0.3,ok
2010_005606_person,person,0.3801,0.5508,11.12,19.73,0.3,ok
2010_005606_sofa,sofa,0.5196,0.6839,13.19,19.65,0.3,ok
2009_003123_chair,chair,0.0209,0.041,46.2,1.0,0.28,ok
2009_003123_diningtable,diningtable,0.91,0.9529,6.66,6.25,0.28,ok
2009_003123_sofa,sofa,0.4977,0.6647,12.81,24.83,0.28,ok
2007_003106_cat,cat,0.8256,0.9045,2.66,2.95,0.29,ok
2007_003106_person,person,0.6181,0.764,13.61,20.87,0.29,ok
2010_001327_sofa,sofa,0.5442,0.7049,57.13,80.26,0.23,ok
2010_005871_person,person,0.3371,0.5043,24.73,15.0,0.27,ok
2010_005871_train,train,0.5053,0.6714,12.01,20.73,0.27,ok
2008_003576_dog,dog,0.8485,0.918,20.91,17.95,0.19,ok
2009_001240_car,car,0.2096,0.3466,40.79,8.66,0.23,ok
2010_003418_bird,bird,0.9264,0.9618,6.66,6.45,0.19,ok
2011_001190_car,car,0.0033,0.0067,41.63,0.14,0.22,ok
2011_002754_boat,boat,0.7245,0.8402,6.08,5.53,0.2,ok
2009_000205_aeroplane,aeroplane,0.5689,0.7252,8.54,6.09,0.19,ok
2009_000412_horse,horse,0.7509,0.8577,31.73,29.48,0.21,ok
2011_000669_bird,bird,0.716,0.8345,2.84,2.03,0.18,ok
2008_003333_car,car,0.1411,0.2473,45.62,6.44,0.3,ok
2008_003333_motorbike,motorbike,0.531,0.6936,4.03,6.02,0.31,ok
2008_003333_person,person,0.0088,0.0174,0.09,4.99,0.31,ok
2007_000727_bus,bus,0.0,0.0,0.02,7.13,0.28,ok
2007_000727_car,car,0.0007,0.0013,0.04,2.65,0.28,ok
2007_000727_person,person,0.4525,0.6231,1.14,0.91,0.28,ok
2009_004732_bus,bus,0.4202,0.5918,17.96,33.49,0.21,ok
2008_004175_horse,horse,0.856,0.9224,5.4,4.82,0.24,ok
2008_001629_bottle,bottle,0.0,0.0,5.91,0.08,0.26,ok
2008_001629_person,person,0.0924,0.1692,3.65,29.24,0.26,ok
2009_004217_chair,chair,0.0739,0.1377,8.75,1.27,0.19,ok
2009_000991_bird,bird,0.6543,0.791,12.91,18.37,0.21,ok
2007_006373_person,person,0.565,0.7221,2.93,2.41,0.26,ok
2007_006373_sofa,sofa,0.6761,0.8067,7.31,7.65,0.26,ok
2010_006054_train,train,0.5263,0.6896,3.88,3.14,0.22,ok
2007_005911_bus,bus,0.5615,0.7192,34.01,59.78,0.2,ok
2007_001154_pottedplant,pottedplant,0.0054,0.0108,40.71,0.24,0.25,ok
2007_001154_sofa,sofa,0.8483,0.9179,9.3,10.63,0.25,ok
2008_006722_dog,dog,0.5106,0.676,16.74,15.07,0.26,ok
2008_006722_person,person,0.6797,0.8093,23.95,31.35,0.26,ok
2008_003876_aeroplane,aeroplane,0.8893,0.9414,12.72,11.42,0.19,ok
2010_001313_motorbike,motorbike,0.2816,0.4394,2.69,3.04,0.27,ok
2010_001313_person,person,0.1318,0.2329,0.29,1.74,0.27,ok
2008_000474_person,person,0.7172,0.8353,9.3,7.73,0.21,ok
2008_006554_bus,bus,0.3149,0.4789,8.48,24.84,0.26,ok
2008_006554_person,person,0.5174,0.682,5.0,4.95,0.26,ok
2007_005354_motorbike,motorbike,0.027,0.0525,0.64,23.32,0.29,ok
2007_005354_person,person,0.0457,0.0874,0.22,4.34,0.29,ok
2010_000904_dog,dog,0.7818,0.8775,50.89,63.41,0.21,ok
2010_004815_cat,cat,0.9226,0.9597,15.77,14.68,0.26,ok
2010_004815_person,person,0.6503,0.7881,16.42,14.44,0.26,ok
2009_004324_bottle,bottle,0.55,0.7097,13.21,9.87,0.25,ok
2008_001074_person,person,0.3482,0.5165,26.17,26.23,0.22,ok
2011_001984_dog,dog,0.8258,0.9046,22.09,24.67,0.21,ok
2011_000396_horse,horse,0.6745,0.8056,2.79,3.23,0.22,ok
2008_003210_person,person,0.2416,0.3892,14.23,53.89,0.21,ok
2007_001289_bird,bird,0.8294,0.9067,4.79,4.03,0.19,ok
2007_003188_bicycle,bicycle,0.0,0.0,3.56,6.56,0.26,ok
2007_003188_person,person,0.1382,0.2428,3.58,17.24,0.26,ok
2009_003806_aeroplane,aeroplane,0.8055,0.8923,9.72,10.63,0.19,ok
2010_005160_bus,bus,0.1872,0.3153,1.95,6.91,0.32,ok
2010_005160_motorbike,motorbike,0.2275,0.3706,4.46,17.52,0.32,ok
2010_005160_sheep,sheep,0.3282,0.4942,0.65,1.77,0.32,ok
2010_005432_car,car,0.7207,0.8377,35.38,45.64,0.24,ok
2008_006254_bicycle,bicycle,0.0,0.0,0.15,2.58,0.29,ok
2008_006254_car,car,0.1848,0.3119,78.67,20.74,0.3,ok
2008_006254_person,person,0.0855,0.1576,1.17,10.82,0.3,ok
2009_002604_bird,bird,0.7264,0.8415,1.81,1.31,0.18,ok
2010_003716_aeroplane,aeroplane,0.7946,0.8856,16.0,14.35,0.2,ok
2008_001249_person,person,0.2562,0.4079,6.43,20.56,0.21,ok
2009_000074_motorbike,motorbike,0.3072,0.47,21.81,24.91,0.3,ok
2009_000074_person,person,0.1317,0.2328,4.52,9.04,0.3,ok
2010_001331_cat,cat,0.8739,0.9327,27.49,24.82,0.22,ok
2007_001239_dog,dog,0.8426,0.9145,23.98,21.22,0.21,ok
2010_000814_bird,bird,0.7546,0.8602,39.75,47.27,0.26,ok
2008_002269_bicycle,bicycle,0.01,0.0197,0.16,14.03,0.21,ok
2009_003063_dog,dog,0.8451,0.916,7.68,7.39,0.24,ok
2011_002075_diningtable,diningtable,0.2419,0.3895,45.51,11.01,0.28,ok
2011_002075_person,person,0.247,0.3961,28.94,31.76,0.28,ok
2011_001726_pottedplant,pottedplant,0.0074,0.0147,4.66,0.18,0.28,ok
2011_001726_tvmonitor,tvmonitor,0.1916,0.3216,10.92,2.09,0.28,ok
2008_008393_horse,horse,0.8778,0.9349,66.42,71.75,0.2,ok
2010_002142_bird,bird,0.6709,0.803,6.26,6.23,0.23,ok
2007_003957_train,train,0.6383,0.7792,25.28,20.87,0.2,ok
2007_002539_bus,bus,0.2172,0.3569,19.83,90.76,0.27,ok
2007_002539_person,person,0.3601,0.5295,20.13,7.27,0.27,ok
2009_003071_chair,chair,0.3862,0.5572,32.45,12.53,0.27,ok
2009_003071_diningtable,diningtable,0.3081,0.4711,11.98,32.24,0.27,ok
2009_003071_person,person,0.8665,0.9285,6.52,6.42,0.27,ok
2007_009817_bird,bird,0.7041,0.8264,13.19,17.11,0.25,ok
2010_001403_bus,bus,0.7389,0.8498,46.86,58.98,0.27,ok
2010_001403_car,car,0.2623,0.4156,17.07,4.48,0.27,ok
2008_001547_person,person,0.5319,0.6944,3.71,6.34,0.19,ok
2010_005922_cow,cow,0.6287,0.772,1.11,0.85,0.21,ok
2010_000318_tvmonitor,tvmonitor,0.5289,0.6919,38.4,20.71,0.2,ok
2007_005626_train,train,0.692,0.818,39.35,52.69,0.2,ok
2008_000123_bird,bird,0.7146,0.8336,4.33,3.1,0.19,ok
2010_001563_dog,dog,0.0913,0.1673,12.07,1.1,0.29,ok
2010_001563_person,person,0.2728,0.4287,1.04,3.38,0.29,ok
2011_002358_bottle,bottle,0.5575,0.7159,0.53,0.43,0.36,ok
2011_002358_chair,chair,0.0825,0.1524,65.56,5.41,0.36,ok
2011_002358_diningtable,diningtable,0.7962,0.8865,18.12,15.52,0.36,ok
2011_002358_person,person,0.1431,0.2503,4.77,26.05,0.36,ok
2010_006026_sheep,sheep,0.7329,0.8459,1.72,1.37,0.2,ok
2009_005156_bicycle,bicycle,0.1065,0.1926,4.91,3.24,0.23,ok
2009_003576_motorbike,motorbike,0.4532,0.6237,2.2,4.19,0.27,ok
2009_003576_person,person,0.8202,0.9012,10.05,8.43,0.27,ok
2007_005813_pottedplant,pottedplant,0.1481,0.258,22.96,4.17,0.23,ok
2007_000572_bicycle,bicycle,0.1604,0.2765,23.6,3.96,0.22,ok
2008_006229_boat,boat,0.7323,0.8454,10.28,9.56,0.19,ok
2008_007120_bird,bird,0.7911,0.8834,11.0,12.19,0.21,ok
2010_003123_bicycle,bicycle,0.027,0.0525,1.95,0.14,0.3,ok
2010_003123_car,car,0.0323,0.0625,69.04,2.23,0.3,ok
2010_003123_pottedplant,pottedplant,0.0368,0.071,2.11,57.3,0.3,ok
2010_005401_boat,boat,0.328,0.494,11.03,26.14,0.2,ok
2010_002017_bottle,bottle,0.3322,0.4987,5.79,2.58,0.38,ok
2010_002017_car,car,0.0098,0.0194,45.38,8.18,0.38,ok
2010_002017_chair,chair,0.2431,0.3911,11.24,4.16,0.38,ok
2010_002017_person,person,0.0797,0.1476,1.78,11.28,0.38,ok
2009_003696_aeroplane,aeroplane,0.7134,0.8327,15.57,12.66,0.2,ok
2011_001665_chair,chair,0.1184,0.2117,27.61,3.32,0.36,ok
2011_001665_diningtable,diningtable,0.3916,0.5629,14.13,34.69,0.36,ok
2007_003101_bus,bus,0.1115,0.2006,7.76,68.97,0.33,ok
2007_003101_car,car,0.0042,0.0084,64.31,0.27,0.33,ok
2010_001448_aeroplane,aeroplane,0.8197,0.9009,14.2,11.65,0.18,ok
2007_006647_motorbike,motorbike,0.5701,0.7262,28.89,36.19,0.34,ok
2007_006647_person,person,0.4905,0.6581,13.74,16.33,0.34,ok
2010_000683_cat,cat,0.6962,0.8209,47.7,65.25,0.22,ok
2008_001260_boat,boat,0.4731,0.6423,33.68,16.3,0.2,ok
2007_006678_sheep,sheep,0.6558,0.7921,23.81,30.07,0.21,ok
2010_000622_aeroplane,aeroplane,0.8746,0.9331,11.74,11.08,0.22,ok
2008_004701_cow,cow,0.7357,0.8477,43.32,56.03,0.19,ok
2008_007548_cat,cat,0.7175,0.8355,14.03,11.35,0.2,ok
2007_007534_sheep,sheep,0.7657,0.8673,42.98,53.47,0.2,ok
2010_000874_horse,horse,0.7115,0.8314,40.63,45.57,0.24,ok
2010_005888_aeroplane,aeroplane,0.7406,0.851,3.32,2.46,0.19,ok
2008_007804_bus,bus,0.0,0.0,1.09,0.74,0.27,ok
2008_007804_car,car,0.1976,0.3299,16.09,23.3,0.27,ok
2008_000992_person,person,0.7449,0.8538,25.5,28.89,0.2,ok
2010_000572_aeroplane,aeroplane,0.8805,0.9364,8.26,8.39,0.18,ok
2009_003703_bus,bus,0.2892,0.4487,12.21,41.52,0.21,ok
2009_004507_dog,dog,0.642,0.782,24.35,27.64,0.26,ok
2009_004507_person,person,0.3496,0.5181,29.96,10.48,0.26,ok
2008_001013_boat,boat,0.5732,0.7287,22.5,34.33,0.27,ok
2008_001013_person,person,0.6512,0.7888,2.01,2.22,0.27,ok
2009_000998_bird,bird,0.7334,0.8462,13.7,12.51,0.2,ok
2009_003903_horse,horse,0.7034,0.8259,13.66,12.14,0.21,ok
2010_001104_train,train,0.4367,0.6079,10.57,6.36,0.18,ok
2007_009794_cat,cat,0.9132,0.9546,53.12,56.78,0.19,ok
2010_004635_cow,cow,0.7916,0.8837,11.78,12.75,0.23,ok
2009_001278_bottle,bottle,0.0891,0.1636,6.06,2.21,0.2,ok
2010_003362_bird,bird,0.6808,0.8101,25.38,30.6,0.24,ok
2007_004275_motorbike,motorbike,0.4478,0.6186,10.97,23.67,0.32,ok
2007_004275_person,person,0.6822,0.8111,5.38,7.38,0.32,ok
2007_004275_pottedplant,pottedplant,0.0324,0.0627,37.56,1.22,0.32,ok
2008_001514_bird,bird,0.7856,0.8799,4.46,4.56,0.2,ok
2009_002527_cat,cat,0.6542,0.791,19.64,24.97,0.23,ok
2011_001862_chair,chair,0.0135,0.0266,31.73,0.43,0.36,ok
2011_001862_diningtable,diningtable,0.1087,0.1961,0.09,0.85,0.36,ok
2011_001862_dog,dog,0.0,0.0,0.0,1.18,0.36,ok
2011_001862_pottedplant,pottedplant,0.2193,0.3596,1.65,0.37,0.36,ok
2011_001862_sofa,sofa,0.9094,0.9525,10.5,10.16,0.36,ok
2007_001585_bottle,bottle,0.0,0.0,0.34,0.08,0.28,ok
2007_001585_person,person,0.7341,0.8466,4.64,6.25,0.28,ok
2007_001585_sofa,sofa,0.7359,0.8479,14.07,13.57,0.28,ok
2008_008301_bus,bus,0.1449,0.2532,5.6,38.49,0.2,ok
2007_002266_aeroplane,aeroplane,0.6972,0.8216,12.22,16.94,0.2,ok
2010_001451_horse,horse,0.8817,0.9371,50.03,53.15,0.2,ok
2011_001416_person,person,0.3286,0.4946,10.52,23.41,0.19,ok
2009_003542_cow,cow,0.9305,0.964,32.5,33.49,0.2,ok
2009_002571_chair,chair,0.1544,0.2675,12.65,8.54,0.34,ok
2009_002571_diningtable,diningtable,0.0633,0.119,1.26,2.54,0.34,ok
2009_002571_pottedplant,pottedplant,0.0668,0.1252,11.08,1.4,0.34,ok
2009_002571_sofa,sofa,0.5709,0.7268,13.16,9.47,0.34,ok
2007_003786_bus,bus,0.5964,0.7472,10.23,6.65,0.19,ok
2007_004033_motorbike,motorbike,0.373,0.5433,18.74,16.3,0.3,ok
2007_004033_person,person,0.1261,0.224,18.04,2.27,0.3,ok
2007_000346_bottle,bottle,0.1066,0.1926,0.83,7.81,0.27,ok
2007_000346_person,person,0.5037,0.67,21.36,27.54,0.27,ok
2007_000464_cow,cow,0.875,0.9334,6.97,6.54,0.2,ok
2010_004056_bottle,bottle,0.1554,0.269,30.4,6.41,0.22,ok
2010_003768_car,car,0.6722,0.8039,3.66,3.44,0.21,ok
2009_002651_motorbike,motorbike,0.6312,0.7739,14.31,9.29,0.26,ok
2009_002651_person,person,0.0,0.0,0.0,2.91,0.26,ok
2011_000888_bus,bus,0.8183,0.9001,41.08,39.39,0.2,ok
