image_id,class_name,iou,dice,pred_coverage_pct,gt_coverage_pct,elapsed_s,status
2008_005089_bottle,bottle,0.0003,0.0005,5.59,1.3,0.77,ok
2008_005089_person,person,0.0,0.0,0.03,10.65,0.77,ok
2008_005089_tvmonitor,tvmonitor,0.3111,0.4745,1.69,5.42,0.77,ok
2009_004579_bottle,bottle,0.0001,0.0002,4.61,49.2,0.26,ok
2011_000338_chair,chair,0.0,0.0,3.84,3.52,0.3,ok
2011_000338_diningtable,diningtable,0.0295,0.0572,23.09,4.39,0.3,ok
2009_005260_bird,bird,0.0,0.0,1.17,5.06,0.38,ok
2008_007031_cow,cow,0.0,0.0,0.0,12.68,0.24,ok
2010_001579_chair,chair,0.0,0.0,7.56,1.87,0.33,ok
2010_001579_diningtable,diningtable,0.1133,0.2035,22.85,32.7,0.33,ok
2010_001579_person,person,0.0,0.0,8.43,37.26,0.33,ok
2008_005727_bicycle,bicycle,0.0014,0.0028,0.05,6.81,0.29,ok
2011_002295_bird,bird,0.0,0.0,0.02,3.78,0.32,ok
2007_003991_cat,cat,0.0211,0.0414,8.84,23.97,0.25,ok
2007_008670_bird,bird,0.1308,0.2313,9.43,11.93,0.24,ok
2011_001708_cow,cow,0.7779,0.8751,8.78,10.12,0.23,ok
2010_005606_cat,cat,0.0,0.0,0.0,13.51,0.33,ok
2010_005606_person,person,0.1845,0.3116,6.66,19.73,0.33,ok
2010_005606_sofa,sofa,0.0,0.0,6.96,19.65,0.33,ok
2009_003123_chair,chair,0.0,0.0,17.04,1.0,0.29,ok
2009_003123_diningtable,diningtable,0.0,0.0,0.0,6.25,0.29,ok
2009_003123_sofa,sofa,0.0017,0.0033,11.24,24.83,0.29,ok
2007_003106_cat,cat,0.0,0.0,3.51,2.95,0.3,ok
2007_003106_person,person,0.0,0.0,2.27,20.87,0.3,ok
2010_001327_sofa,sofa,0.031,0.0601,2.49,80.26,0.28,ok
2010_005871_person,person,0.0,0.0,0.66,15.0,0.29,ok
2010_005871_train,train,0.0,0.0,0.0,20.73,0.29,ok
2008_003576_dog,dog,0.4574,0.6277,8.42,17.95,0.22,ok
2009_001240_car,car,0.0,0.0,8.89,8.66,0.29,ok
2010_003418_bird,bird,0.0147,0.0289,0.1,6.45,0.21,ok
2011_001190_car,car,0.0,0.0,4.2,0.14,0.26,ok
2011_002754_boat,boat,0.0,0.0,0.0,5.53,0.24,ok
2009_000205_aeroplane,aeroplane,0.0104,0.0207,67.23,6.09,0.23,ok
2009_000412_horse,horse,0.1937,0.3245,7.76,29.48,0.26,ok
2011_000669_bird,bird,0.0176,0.0347,0.22,2.03,0.21,ok
2008_003333_car,car,0.0,0.0,0.02,6.44,0.29,ok
2008_003333_motorbike,motorbike,0.0002,0.0004,7.28,6.02,0.29,ok
2008_003333_person,person,0.0,0.0,3.63,4.99,0.29,ok
2007_000727_bus,bus,0.0,0.0,16.59,7.13,0.27,ok
2007_000727_car,car,0.0,0.0,6.94,2.65,0.27,ok
2007_000727_person,person,0.0,0.0,7.71,0.91,0.27,ok
2009_004732_bus,bus,0.0372,0.0717,1.44,33.49,0.28,ok
2008_004175_horse,horse,0.2387,0.3855,2.53,4.82,0.3,ok
2008_001629_bottle,bottle,0.0,0.0,0.0,0.08,0.27,ok
2008_001629_person,person,0.568,0.7245,16.91,29.24,0.27,ok
2009_004217_chair,chair,0.0,0.0,18.08,1.27,0.24,ok
2009_000991_bird,bird,0.0303,0.0588,0.65,18.37,0.26,ok
