layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,dice,0,0.0,0.111299,6.43,0.000122,0.111299,4.06,ok,30
0,1,dice,0,0.0,0.121988,3.86,7.6e-05,0.121988,3.63,ok,30
0,2,dice,0,0.0,0.060414,5.41,0.000796,0.060414,3.74,ok,30
0,3,dice,0,0.0,0.050156,6.45,0.000145,0.050156,3.7,ok,30
0,4,dice,0,0.0,0.140224,3.42,0.002192,0.140224,3.8,ok,30
0,5,dice,0,0.0,0.123974,7.39,0.00016,0.123974,3.92,ok,30
0,6,dice,0,0.0,0.100167,6.36,0.005829,0.100167,3.8,ok,30
0,7,dice,0,0.0,0.103814,6.11,0.000116,0.103814,3.73,ok,30
0,8,dice,0,0.0,0.104248,6.1,0.000109,0.104248,3.57,ok,30
0,9,dice,0,0.0,0.047062,7.35,0.000147,0.047062,3.61,ok,30
0,10,dice,0,0.0,0.074791,6.89,0.000302,0.074791,3.75,ok,30
0,11,dice,0,0.0,0.061154,5.68,0.000205,0.061154,3.61,ok,30
1,0,dice,0,0.0,0.065269,6.16,0.00017,0.065269,3.73,ok,30
1,1,dice,0,0.0,0.08897,4.12,0.000621,0.08897,3.28,ok,30
1,2,dice,0,0.0,0.080039,6.87,0.000183,0.080039,3.62,ok,30
1,3,dice,0,0.0,0.041883,4.57,0.001054,0.041883,3.77,ok,30
1,4,dice,0,0.0,0.035691,5.65,0.000275,0.035691,3.63,ok,30
1,5,dice,0,0.0,0.050444,6.21,0.000334,0.050444,3.72,ok,30
1,6,dice,0,0.0,0.106984,4.68,0.000395,0.106984,3.39,ok,30
1,7,dice,0,0.0,0.080913,5.15,0.000186,0.080913,3.64,ok,30
1,8,dice,0,0.0,0.040664,5.71,0.000517,0.040664,3.7,ok,30
1,9,dice,0,0.0,0.207765,4.32,0.001567,0.207765,3.62,ok,30
1,10,dice,0,0.0,0.084776,7.45,4.2e-05,0.084776,3.59,ok,30
1,11,dice,0,0.0,0.129394,2.94,0.000612,0.129394,3.69,ok,30
2,0,dice,0,0.0,0.037262,5.86,0.000299,0.037262,3.59,ok,30
2,1,dice,0,0.0,0.043726,4.73,0.000362,0.043726,3.58,ok,30
2,2,dice,0,0.0,0.013614,3.52,0.000785,0.013614,3.72,ok,30
2,3,dice,0,0.0,0.088074,5.22,5.3e-05,0.088074,3.59,ok,30
2,4,dice,0,0.0,0.10292,4.77,0.001204,0.10292,3.73,ok,30
2,5,dice,0,0.0,0.018737,5.48,5.6e-05,0.018737,3.59,ok,30
2,6,dice,0,0.0,0.041468,6.0,4.9e-05,0.041468,3.6,ok,30
2,7,dice,0,0.0,0.034211,5.19,0.000153,0.034211,3.8,ok,30
2,8,dice,0,0.0,0.142659,4.0,0.000552,0.142659,3.51,ok,30
2,9,dice,0,0.0,0.064806,3.98,2.2e-05,0.064806,3.71,ok,30
2,10,dice,0,0.0,0.015099,4.35,8.6e-05,0.015099,3.78,ok,30
2,11,dice,0,0.0,0.022345,3.64,2.4e-05,0.022345,3.47,ok,30
3,0,dice,0,0.0,0.100278,5.12,0.000322,0.100278,3.7,ok,30
3,1,dice,0,0.0,0.097411,5.8,8.9e-05,0.097411,3.62,ok,30
3,2,dice,0,0.0,0.057074,4.71,4.8e-05,0.057074,3.8,ok,30
3,3,dice,0,0.0,0.094381,4.85,0.000344,0.094381,3.76,ok,30
3,4,dice,0,0.0,0.056901,4.78,0.000715,0.056901,3.77,ok,30
3,5,dice,0,0.0,0.069569,3.73,0.004784,0.069569,3.29,ok,30
3,6,dice,0,0.0,0.084167,5.2,0.000107,0.084167,3.63,ok,30
3,7,dice,0,0.0,0.046217,4.41,0.00068,0.046217,3.79,ok,30
3,8,dice,0,0.0,0.044499,3.63,0.000164,0.044499,3.56,ok,30
3,9,dice,0,0.0,0.024832,4.38,7.6e-05,0.024832,3.75,ok,30
3,10,dice,0,0.0,0.245456,3.9,0.005712,0.245456,3.26,ok,30
3,11,dice,0,0.0,0.038277,5.01,0.001791,0.038277,3.47,ok,30
4,0,dice,0,0.0,0.124607,3.2,0.001205,0.124607,3.69,ok,30
4,1,dice,0,0.0,0.117552,5.23,0.000229,0.117552,3.57,ok,30
4,2,dice,0,0.0,0.03274,5.01,0.001022,0.03274,3.65,ok,30
4,3,dice,0,0.0,0.023208,3.65,0.000877,0.023208,3.72,ok,30
4,4,dice,0,0.0,0.270074,5.22,0.001815,0.270074,3.26,ok,30
4,5,dice,0,0.0,0.030447,4.0,2.4e-05,0.030447,3.59,ok,30
4,6,dice,0,0.0,0.023108,4.06,0.001388,0.023108,3.66,ok,30
4,7,dice,0,0.0,0.045169,4.41,0.000247,0.045169,3.61,ok,30
4,8,dice,0,0.0,0.019978,2.96,0.000134,0.019978,3.59,ok,30
4,9,dice,0,0.0,0.04752,4.35,0.000662,0.04752,3.35,ok,30
4,10,dice,0,0.0,0.050988,4.44,0.00122,0.050988,3.59,ok,30
4,11,dice,0,0.0,0.070566,6.09,0.000881,0.070566,3.81,ok,30
5,0,dice,0,0.0,0.030907,4.91,8.2e-05,0.030907,3.72,ok,30
5,1,dice,0,0.0,0.078636,3.86,0.000701,0.078636,3.73,ok,30
5,2,dice,0,0.0,0.041099,4.38,0.00153,0.041099,3.56,ok,30
