layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,clip,9,30.0,0.0,6.43,0.000122,9.0,3.79,ok,30
0,1,clip,11,36.67,0.0,3.86,7.6e-05,11.0,3.64,ok,30
0,2,clip,10,33.33,0.0,5.41,0.000796,10.0,3.65,ok,30
0,3,clip,10,33.33,0.0,6.45,0.000145,10.0,3.43,ok,30
0,4,clip,11,36.67,0.0,3.42,0.002192,11.0,3.55,ok,30
0,5,clip,8,26.67,0.0,7.39,0.00016,8.0,3.6,ok,30
0,6,clip,10,33.33,0.0,6.36,0.005829,10.0,3.62,ok,30
0,7,clip,9,30.0,0.0,6.11,0.000116,9.0,3.54,ok,30
0,8,clip,9,30.0,0.0,6.1,0.000109,9.0,3.62,ok,30
0,9,clip,6,20.0,0.0,7.35,0.000147,6.0,3.64,ok,30
0,10,clip,8,26.67,0.0,6.89,0.000302,8.0,3.69,ok,30
0,11,clip,11,36.67,0.0,5.68,0.000205,11.0,3.58,ok,30
1,0,clip,6,20.0,0.0,6.16,0.00017,6.0,3.42,ok,30
1,1,clip,12,40.0,0.0,4.12,0.000621,12.0,3.55,ok,30
1,2,clip,9,30.0,0.0,6.87,0.000183,9.0,3.58,ok,30
1,3,clip,13,43.33,0.0,4.57,0.001054,13.0,3.59,ok,30
1,4,clip,9,30.0,0.0,5.65,0.000275,9.0,3.59,ok,30
1,5,clip,4,13.33,0.0,6.21,0.000334,4.0,3.35,ok,30
1,6,clip,14,46.67,0.0,4.68,0.000395,14.0,3.58,ok,30
1,7,clip,8,26.67,0.0,5.15,0.000186,8.0,3.57,ok,30
1,8,clip,11,36.67,0.0,5.71,0.000517,11.0,3.52,ok,30
1,9,clip,13,43.33,0.0,4.32,0.001567,13.0,3.36,ok,30
1,10,clip,8,26.67,0.0,7.45,4.2e-05,8.0,3.61,ok,30
1,11,clip,12,40.0,0.0,2.94,0.000612,12.0,3.54,ok,30
2,0,clip,8,26.67,0.0,5.86,0.000299,8.0,3.58,ok,30
2,1,clip,9,30.0,0.0,4.73,0.000362,9.0,3.44,ok,30
2,2,clip,10,33.33,0.0,3.52,0.000785,10.0,3.57,ok,30
2,3,clip,9,30.0,0.0,5.22,5.3e-05,9.0,3.6,ok,30
2,4,clip,8,26.67,0.0,4.77,0.001204,8.0,3.59,ok,30
2,5,clip,9,30.0,0.0,5.48,5.6e-05,9.0,3.59,ok,30
2,6,clip,10,33.33,0.0,6.0,4.9e-05,10.0,3.42,ok,30
2,7,clip,7,23.33,0.0,5.19,0.000153,7.0,3.6,ok,30
2,8,clip,12,40.0,0.0,4.0,0.000552,12.0,3.56,ok,30
2,9,clip,9,30.0,0.0,3.98,2.2e-05,9.0,3.68,ok,30
2,10,clip,9,30.0,0.0,4.35,8.6e-05,9.0,3.46,ok,30
2,11,clip,7,23.33,0.0,3.64,2.4e-05,7.0,3.68,ok,30
3,0,clip,13,43.33,0.0,5.12,0.000322,13.0,3.64,ok,30
3,1,clip,11,36.67,0.0,5.8,8.9e-05,11.0,3.76,ok,30
3,2,clip,8,26.67,0.0,4.71,4.8e-05,8.0,3.65,ok,30
3,3,clip,12,40.0,0.0,4.85,0.000344,12.0,3.61,ok,30
3,4,clip,10,33.33,0.0,4.78,0.000715,10.0,3.79,ok,30
3,5,clip,9,30.0,0.0,3.73,0.004784,9.0,3.78,ok,30
3,6,clip,10,33.33,0.0,5.2,0.000107,10.0,3.88,ok,30
3,7,clip,10,33.33,0.0,4.41,0.00068,10.0,3.59,ok,30
3,8,clip,12,40.0,0.0,3.63,0.000164,12.0,3.75,ok,30
3,9,clip,8,26.67,0.0,4.38,7.6e-05,8.0,3.83,ok,30
3,10,clip,14,46.67,0.0,3.9,0.005712,14.0,3.79,ok,30
3,11,clip,5,16.67,0.0,5.01,0.001791,5.0,3.84,ok,30
4,0,clip,10,33.33,0.0,3.2,0.001205,10.0,3.65,ok,30
4,1,clip,9,30.0,0.0,5.23,0.000229,9.0,3.84,ok,30
4,2,clip,10,33.33,0.0,5.01,0.001022,10.0,3.89,ok,30
4,3,clip,8,26.67,0.0,3.65,0.000877,8.0,3.9,ok,30
4,4,clip,12,40.0,0.0,5.22,0.001815,12.0,3.42,ok,30
4,5,clip,9,30.0,0.0,4.0,2.4e-05,9.0,3.64,ok,30
4,6,clip,8,26.67,0.0,4.06,0.001388,8.0,3.72,ok,30
4,7,clip,8,26.67,0.0,4.41,0.000247,8.0,3.6,ok,30
4,8,clip,11,36.67,0.0,2.96,0.000134,11.0,3.49,ok,30
4,9,clip,10,33.33,0.0,4.35,0.000662,10.0,3.63,ok,30
4,10,clip,7,23.33,0.0,4.44,0.00122,7.0,3.64,ok,30
4,11,clip,11,36.67,0.0,6.09,0.000881,11.0,3.65,ok,30
5,0,clip,8,26.67,0.0,4.91,8.2e-05,8.0,3.61,ok,30
5,1,clip,6,20.0,0.0,3.86,0.000701,6.0,3.45,ok,30
5,2,clip,11,36.67,0.0,4.38,0.00153,11.0,3.8,ok,30
5,3,clip,6,20.0,0.0,3.95,0.000958,6.0,3.69,ok,30
5,4,clip,9,30.0,0.0,6.09,0.000101,9.0,3.89,ok,30
5,5,clip,12,40.0,0.0,4.19,0.000702,12.0,3.59,ok,30
5,6,clip,7,23.33,0.0,4.72,0.00041,7.0,3.81,ok,30
5,7,clip,10,33.33,0.0,4.81,9.4e-05,10.0,3.9,ok,30
5,8,clip,7,23.33,0.0,4.9,0.000955,7.0,3.86,ok,30
5,9,clip,8,26.67,0.0,4.0,0.003308,8.0,3.8,ok,30
5,10,clip,17,56.67,0.0,2.85,0.004487,17.0,3.6,ok,30
