strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
superpixel,784,10,0,0.05,0.446,44.6,0.5611,56.1,16.19,5.69,ok
superpixel,784,10,0,0.1,0.4335,43.4,0.5466,54.7,11.14,5.21,ok
superpixel,784,10,0,0.2,0.3408,34.1,0.4445,44.5,6.4,5.19,ok
superpixel,784,10,1,0.05,0.4767,47.7,0.5861,58.6,20.06,5.63,ok
superpixel,784,10,1,0.1,0.4531,45.3,0.5667,56.7,14.45,5.55,ok
superpixel,784,10,1,0.2,0.4099,41.0,0.5231,52.3,8.79,5.58,ok
superpixel,784,10,2,0.05,0.4264,42.6,0.5415,54.2,23.8,6.02,ok
superpixel,784,10,2,0.1,0.4603,46.0,0.5733,57.3,16.2,6.05,ok
superpixel,784,10,2,0.2,0.4232,42.3,0.5347,53.5,10.0,6.1,ok
superpixel,784,10,3,0.05,0.4027,40.3,0.5185,51.9,26.58,6.41,ok
superpixel,784,10,3,0.1,0.4745,47.4,0.5868,58.7,17.46,6.45,ok
superpixel,784,10,3,0.2,0.4469,44.7,0.5586,55.9,11.41,6.39,ok
superpixel,441,10,0,0.05,0.4468,44.7,0.5637,56.4,17.9,4.81,ok
superpixel,441,10,0,0.1,0.4435,44.4,0.5578,55.8,12.15,4.84,ok
superpixel,441,10,0,0.2,0.3952,39.5,0.5032,50.3,7.43,4.83,ok
superpixel,441,10,1,0.05,0.4487,44.9,0.5623,56.2,23.5,5.27,ok
superpixel,441,10,1,0.1,0.4567,45.7,0.5674,56.7,16.41,5.23,ok
superpixel,441,10,1,0.2,0.4407,44.1,0.55,55.0,11.0,5.39,ok
superpixel,441,10,2,0.05,0.4084,40.8,0.5143,51.4,28.89,5.69,ok
superpixel,441,10,2,0.1,0.4463,44.6,0.5529,55.3,19.84,5.6,ok
superpixel,441,10,2,0.2,0.4314,43.1,0.535,53.5,12.91,5.64,ok
superpixel,441,10,3,0.05,0.3773,37.7,0.4879,48.8,32.58,6.04,ok
superpixel,441,10,3,0.1,0.4383,43.8,0.5485,54.9,22.49,6.04,ok
superpixel,441,10,3,0.2,0.4489,44.9,0.5636,56.4,14.37,6.07,ok
superpixel,196,10,0,0.05,0.3809,38.1,0.4843,48.4,31.72,4.55,ok
superpixel,196,10,0,0.1,0.4324,43.2,0.5394,53.9,20.82,4.58,ok
superpixel,196,10,0,0.2,0.4481,44.8,0.5554,55.5,13.72,4.58,ok
superpixel,196,10,1,0.05,0.3389,33.9,0.4366,43.7,43.66,4.91,ok
superpixel,196,10,1,0.1,0.3927,39.3,0.492,49.2,30.4,4.87,ok
superpixel,196,10,1,0.2,0.3997,40.0,0.5145,51.4,18.17,4.89,ok
superpixel,196,10,2,0.05,0.2936,29.4,0.3933,39.3,47.69,5.3,ok
superpixel,196,10,2,0.1,0.3754,37.5,0.4764,47.6,34.65,5.32,ok
superpixel,196,10,2,0.2,0.417,41.7,0.5246,52.5,22.86,5.3,ok
superpixel,196,10,3,0.05,0.2834,28.3,0.3762,37.6,53.93,5.68,ok
superpixel,196,10,3,0.1,0.3559,35.6,0.4597,46.0,39.89,5.69,ok
superpixel,196,10,3,0.2,0.4202,42.0,0.5216,52.2,28.58,5.69,ok
