strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
regular,12,10,0,0.05,,,,,,0.02,error:index 6 is out of range
regular,12,10,0,0.1,,,,,,0.01,error:index 6 is out of range
regular,12,10,0,0.2,,,,,,0.01,error:index 6 is out of range
regular,12,10,1,0.05,,,,,,0.01,error:index 6 is out of range
regular,12,10,1,0.1,,,,,,0.01,error:index 6 is out of range
regular,12,10,1,0.2,,,,,,0.01,error:index 6 is out of range
regular,12,10,2,0.05,,,,,,0.01,error:index 6 is out of range
regular,12,10,2,0.1,,,,,,0.01,error:index 6 is out of range
regular,12,10,2,0.2,,,,,,0.01,error:index 6 is out of range
regular,12,10,3,0.05,,,,,,0.01,error:index 6 is out of range
regular,12,10,3,0.1,,,,,,0.01,error:index 6 is out of range
regular,12,10,3,0.2,,,,,,0.01,error:index 6 is out of range
regular,16,10,0,0.05,,,,,,0.01,error:index 6 is out of range
regular,16,10,0,0.1,,,,,,0.01,error:index 6 is out of range
regular,16,10,0,0.2,,,,,,0.01,error:index 6 is out of range
regular,16,10,1,0.05,,,,,,0.01,error:index 6 is out of range
regular,16,10,1,0.1,,,,,,0.01,error:index 6 is out of range
regular,16,10,1,0.2,,,,,,0.01,error:index 6 is out of range
regular,16,10,2,0.05,,,,,,0.01,error:index 6 is out of range
regular,16,10,2,0.1,,,,,,0.01,error:index 6 is out of range
regular,16,10,2,0.2,,,,,,0.01,error:index 6 is out of range
regular,16,10,3,0.05,,,,,,0.01,error:index 6 is out of range
regular,16,10,3,0.1,,,,,,0.01,error:index 6 is out of range
regular,16,10,3,0.2,,,,,,0.01,error:index 6 is out of range
regular,24,10,0,0.05,,,,,,0.02,error:index 6 is out of range
regular,24,10,0,0.1,,,,,,0.01,error:index 6 is out of range
regular,24,10,0,0.2,,,,,,0.02,error:index 6 is out of range
regular,24,10,1,0.05,,,,,,0.01,error:index 6 is out of range
regular,24,10,1,0.1,,,,,,0.02,error:index 6 is out of range
regular,24,10,1,0.2,,,,,,0.02,error:index 6 is out of range
regular,24,10,2,0.05,,,,,,0.01,error:index 6 is out of range
regular,24,10,2,0.1,,,,,,0.01,error:index 6 is out of range
regular,24,10,2,0.2,,,,,,0.01,error:index 6 is out of range
regular,24,10,3,0.05,,,,,,0.01,error:index 6 is out of range
regular,24,10,3,0.1,,,,,,0.01,error:index 6 is out of range
regular,24,10,3,0.2,,,,,,0.02,error:index 6 is out of range
superpixel,784,10,0,0.05,,,,,,0.09,error:index 6 is out of range
superpixel,784,10,0,0.1,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,0,0.2,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,1,0.05,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,1,0.1,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,1,0.2,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,2,0.05,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,2,0.1,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,2,0.2,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,3,0.05,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,3,0.1,,,,,,0.08,error:index 6 is out of range
superpixel,784,10,3,0.2,,,,,,0.08,error:index 6 is out of range
superpixel,441,10,0,0.05,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,0,0.1,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,0,0.2,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,1,0.05,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,1,0.1,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,1,0.2,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,2,0.05,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,2,0.1,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,2,0.2,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,3,0.05,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,3,0.1,,,,,,0.07,error:index 6 is out of range
superpixel,441,10,3,0.2,,,,,,0.07,error:index 6 is out of range
superpixel,196,10,0,0.05,,,,,,0.06,error:index 6 is out of range
superpixel,196,10,0,0.1,,,,,,0.07,error:index 6 is out of range
superpixel,196,10,0,0.2,,,,,,0.07,error:index 6 is out of range
superpixel,196,10,1,0.05,,,,,,0.06,error:index 6 is out of range
superpixel,196,10,1,0.1,,,,,,0.06,error:index 6 is out of range
superpixel,196,10,1,0.2,,,,,,0.07,error:index 6 is out of range
superpixel,196,10,2,0.05,,,,,,0.06,error:index 6 is out of range
superpixel,196,10,2,0.1,,,,,,0.07,error:index 6 is out of range
superpixel,196,10,2,0.2,,,,,,0.06,error:index 6 is out of range
superpixel,196,10,3,0.05,,,,,,0.06,error:index 6 is out of range
superpixel,196,10,3,0.1,,,,,,0.07,error:index 6 is out of range
superpixel,196,10,3,0.2,,,,,,0.07,error:index 6 is out of range
