layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,clip,,,,,,,0.02,"error:shape '[21, 21]' is invalid for input of size 400",30
0,1,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,2,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,3,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,4,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,5,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,6,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,7,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,8,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,9,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,10,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,11,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,12,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,13,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,14,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,15,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,0,clip,,,,,,,0.01,"error:shape '[21, 21]' is invalid for input of size 400",30
1,1,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,2,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,3,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,4,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,5,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,6,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,7,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,8,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,9,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,10,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,11,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,12,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,13,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,14,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,15,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,0,clip,,,,,,,0.01,"error:shape '[21, 21]' is invalid for input of size 400",30
2,1,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,2,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,3,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,4,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,5,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,6,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,7,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,8,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,9,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,10,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,11,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,12,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,13,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,14,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,15,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,0,clip,,,,,,,0.01,"error:shape '[21, 21]' is invalid for input of size 400",30
3,1,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,2,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,3,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,4,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,5,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,6,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,7,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,8,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,9,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,10,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,11,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,12,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,13,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,14,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,15,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,0,clip,,,,,,,0.02,"error:shape '[21, 21]' is invalid for input of size 400",30
4,1,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,2,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,3,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,4,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,5,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,6,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,7,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,8,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,9,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,10,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,11,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,12,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,13,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,14,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,15,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,0,clip,,,,,,,0.02,"error:shape '[21, 21]' is invalid for input of size 400",30
5,1,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,2,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,3,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,4,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,5,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,6,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,7,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,8,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,9,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,10,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,11,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,12,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,13,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,14,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,15,clip,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
