layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,dice,,,,,,,0.05,"error:shape '[21, 21]' is invalid for input of size 400",30
0,1,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,2,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,3,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,4,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,5,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,6,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,7,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,8,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,9,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,10,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,11,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,12,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,13,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,14,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
0,15,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,0,dice,,,,,,,0.01,"error:shape '[21, 21]' is invalid for input of size 400",30
1,1,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,2,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,3,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,4,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,5,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,6,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,7,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,8,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,9,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,10,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,11,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,12,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,13,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,14,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
1,15,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,0,dice,,,,,,,0.01,"error:shape '[21, 21]' is invalid for input of size 400",30
2,1,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,2,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,3,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,4,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,5,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,6,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,7,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,8,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,9,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,10,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,11,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,12,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,13,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,14,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
2,15,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,0,dice,,,,,,,0.01,"error:shape '[21, 21]' is invalid for input of size 400",30
3,1,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,2,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,3,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,4,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,5,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,6,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,7,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,8,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,9,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,10,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,11,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,12,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,13,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,14,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
3,15,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,0,dice,,,,,,,0.02,"error:shape '[21, 21]' is invalid for input of size 400",30
4,1,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,2,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,3,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,4,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,5,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,6,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,7,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,8,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,9,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,10,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,11,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,12,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,13,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,14,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
4,15,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,0,dice,,,,,,,0.02,"error:shape '[21, 21]' is invalid for input of size 400",30
5,1,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,2,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,3,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,4,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,5,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,6,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,7,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,8,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,9,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,10,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,11,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,12,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,13,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,14,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
5,15,dice,,,,,,,0.0,"error:shape '[21, 21]' is invalid for input of size 400",30
